      Plot replica #,            Solution,           chi2/Npts,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,                GT a,                GT b,                GT c,                G2 a,                G2 b,                G2 c,               QTu a,               QTu b,               QTu c,               QTd a,               QTd b,               QTd c,
                  31,                 N/A,            2.363725,            3.262524,            6.473212,          -16.511545,            0.649876,           -9.830363,           13.430995,           -7.801733,            1.471334,           20.774876,           -1.069305,            6.065885,           -3.665680,            3.048672,          -14.999940,            6.880933,            0.112009,           -0.757443,           -0.717625,           -5.854306,           -1.503413,           -2.406128,            4.376675,            3.086685,            4.066038,
                  32,                 N/A,            2.003660,           -3.890325,           10.652722,          -10.802978,            3.629246,            0.114151,           -5.789942,           -1.546533,           -2.195127,            9.206927,          -11.815822,            6.968989,           18.200544,            2.393759,           -8.616400,           -0.011396,            0.281446,           -2.567473,           -6.411354,           -7.694142,           10.428117,           -3.239923,            8.748661,          -11.521821,           11.765994,
                  33,                 N/A,            2.100602,            2.539159,            1.948519,          -13.699262,            0.519579,           -0.892001,            1.358921,           -3.838001,           -0.934633,           13.473866,           -5.104920,            9.021367,            0.996807,            3.891739,           -9.090216,           -5.849907,           -1.601038,           -2.421344,           -5.532400,           -3.324994,            9.071024,           -4.156336,            6.500036,           -9.354282,           10.275085,
                  34,                 N/A,            2.219029,           -1.311829,            3.474303,           -2.544078,            3.763719,           -2.414509,            2.574967,          -10.350440,           10.483106,           15.151384,           -6.223476,           12.054859,           -0.893540,            4.624328,          -10.166991,           -0.517219,           -3.794683,           -0.076810,            3.815791,           -1.844128,           -4.651283,           -8.493556,            6.174840,            3.707269,            3.103346,
                  35,                 N/A,            2.364734,           -2.894042,            9.590231,           -6.332127,            8.191699,          -22.765188,           15.615306,          -11.130698,            2.925766,           25.688464,           -8.267496,           21.478792,           -7.887638,            6.320739,           -4.049511,           -7.715473,            0.062456,            4.064761,           -5.291956,            0.795129,            7.285258,            0.695185,           -0.214591,          -11.793418,            2.221419,
                  36,                 N/A,            1.952625,           -3.460592,            1.454569,            1.769776,            2.334632,          -10.165939,           12.258945,           -6.388513,            5.111178,           12.826606,           -6.131335,           13.484529,           -1.407542,            3.982134,          -12.733442,            3.819534,           -2.022002,           -0.976802,           -4.043182,           -5.497264,           10.018326,          -11.025309,            9.465683,           -9.095167,           10.451885,
                  37,                 N/A,            1.952667,            1.849054,           -3.487758,           -8.882169,            7.245978,          -15.825051,            2.994916,           -3.507303,           -2.672026,           14.027778,           -3.368457,          -11.764119,           16.749737,            3.993438,           -9.080507,           -1.470496,           -4.318219,            1.244821,            1.831407,           -5.311959,            2.472523,           -1.419876,            9.470229,           -1.168827,           -1.323111,
                  38,                 N/A,            2.108299,           -3.683208,           13.538184,          -10.324582,            8.587850,           -9.404459,           -1.775014,           -8.108044,            8.657572,           11.872795,          -15.867152,           10.963512,           22.145180,            3.579685,           -9.267290,           -0.604550,           -0.689281,            3.436721,           -2.194984,           -9.432393,            7.687894,           -3.724398,           10.414751,          -13.798944,            7.359265,
                  39,                 N/A,            2.106543,            2.360914,            0.362409,           -8.580978,            2.495947,           -5.979884,            6.383589,           -5.160082,            3.596505,           11.956946,           -0.306472,           -1.712542,           -0.090454,            1.341435,           -2.474973,            4.762148,            0.620216,           -8.655008,           -1.580237,           -3.633094,           12.863856,           -9.308942,            2.602311,           -3.694652,           10.424791,
                  40,                 N/A,            1.944319,           -1.033123,           -4.215874,            0.521120,            6.392379,          -13.581236,            4.988969,           -3.353999,            0.155900,           11.350609,          -13.784080,            6.961111,           19.746123,            4.584068,           -9.796355,           -3.597876,            3.583364,           -2.011500,           -4.629188,           -2.566173,           13.109018,           -8.996523,           -1.292994,           -7.418799,           10.479980,
