      Plot replica #,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               sp1 a,               sp1 b,               sp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,               sm1 a,               sm1 b,               sm1 c,                GT b,                G2 a,                G2 b,                G2 c,               QTu b,               QTd b,               QTs b,
                 115,           -5.405306,            4.976121,            0.369434,            9.209768,           -8.927883,           -3.384623,           10.375332,           -8.069652,           -7.744791,           -6.080616,            4.036606,           12.241966,            3.274390,           -6.233481,           -2.816218,            1.894947,            0.574298,           -4.830543,           -0.130711,            2.852305,           -0.025155,           -9.985981,           -2.046916,            5.413997,            0.300018,
                 116,           -6.546184,            6.719627,           -0.160565,            9.431959,           -9.651532,           -4.741320,           -0.245892,            1.597428,           -2.536853,           -8.902709,            6.945839,           15.071216,            0.312589,            5.001638,           -8.853143,            4.911246,            1.618377,          -12.260823,           -0.853090,            1.695412,           -0.763090,           -6.347608,           -3.664169,            8.172425,           -1.435570,
                 117,           -2.278480,            2.303366,           -1.559706,            6.832128,           -6.924153,           -4.976607,            8.402827,           -6.736333,           -1.006967,           -6.147627,           -0.151377,           17.443718,            2.944437,           -4.403060,           -4.098454,           14.725498,          -24.948615,           -2.121835,           -3.481559,           -0.562566,            1.672578,           -3.231875,           -1.858404,            7.802484,           -2.595360,
                 118,           -7.881225,            8.038036,           -0.866114,            8.254291,           -8.960102,           -0.715060,           11.619063,           -9.897700,           -7.504521,           -1.251237,           -4.059991,           12.177233,           -5.447933,           10.829014,           -3.921306,            4.124405,           -2.330808,           -6.127267,           -0.387514,            1.901532,            0.074277,           -7.448404,           -2.715667,            5.548434,            2.349811,
                 119,           -6.305973,            6.229916,           -8.940189,           13.833156,          -14.970867,           12.519848,           11.736786,           -7.450343,          -15.138587,           -5.674766,            3.751516,           12.743063,          -15.970441,           14.132678,           16.849543,           11.683390,           -1.511380,          -21.803348,            9.676852,            1.874027,           -0.885286,           -6.819560,            6.252892,           -6.488036,            2.235469,
                 120,           -5.394045,            5.154682,            2.103378,           13.087253,          -13.329914,           -0.941232,           11.271485,           -8.654556,           -9.973307,           -5.665751,            3.669237,           12.020054,            0.082791,            4.212779,           -7.254720,           11.015074,           -9.569327,          -10.741623,           -0.690803,           -0.024006,           -4.454958,            1.432722,           -4.850239,            4.070054,            2.006826,
                 121,           -5.381111,            4.872543,            2.235740,            3.445187,           -3.973329,           -2.690799,           -3.329275,            6.940966,          -14.249530,           -6.442805,            6.573114,           10.106237,           -2.806107,            4.238352,           -1.187715,           16.909440,          -11.866587,          -21.908573,           -2.509117,            0.585224,            1.646276,           -5.175491,           -4.031617,            6.920767,            4.158556,
                 122,           -3.221081,            3.208419,            1.455345,            9.997234,           -9.945910,           -3.836544,            6.338982,           -5.127962,           -7.806762,           -3.000003,            1.713764,            8.271305,           -7.185528,            5.498677,            6.200122,            5.654891,           -2.246287,           -9.757862,           -0.917354,           -0.397296,           -0.580846,           -1.019726,           -4.728832,            6.333781,            4.152729,
                 123,           -4.489199,            4.431694,           -0.133773,            8.737332,           -8.611459,           -5.890925,           13.024383,          -12.557042,           -2.436548,           -6.177437,            6.770205,            9.560965,           -3.437621,            2.135428,            2.319146,            2.441708,            2.750590,           -8.289440,           -0.048855,            2.310772,            2.685965,           -9.999472,           -2.802018,            8.377896,            0.965787,
                 124,           -5.762400,            5.293990,            2.007636,           10.949152,          -11.297494,           -2.950609,           11.826622,           -8.143936,          -12.107053,           -4.607735,            4.984247,            8.100019,           -5.109731,            0.533379,            7.370611,           10.631282,          -24.999338,           14.943033,           -4.778059,           -1.338163,            0.967049,           -0.026138,           -4.149731,            6.437444,            2.570890,
                 125,           -4.811874,            4.937211,           -0.742619,           15.959295,          -17.012281,           -2.368506,            8.361175,           -5.223435,           -4.713107,           -9.608069,           10.725653,           12.714765,            0.937972,            2.060486,           -6.514495,            0.091655,          -15.591401,           10.297591,            1.851962,            2.000619,            1.196847,           -7.112952,           -3.192097,            8.215861,           -3.973192,
                 126,           -4.451594,            4.567702,            0.627485,            8.637577,           -8.108680,           -5.113531,            6.160305,           -6.362267,           -4.100273,           -4.568523,            3.145438,            8.613278,           -0.394624,           -2.472960,            2.124824,            8.355859,          -12.825403,           -4.087081,           -3.391384,           -0.217091,            0.998666,           -3.021189,           -4.394930,            6.082418,            5.800940,
                 127,           -7.444978,            7.107617,            1.143701,            8.357591,           -8.893821,           -3.185998,            4.086221,           -1.366473,          -10.026911,           -4.871472,            5.298301,            8.126113,           -4.657057,            4.706652,            2.194085,            6.921936,            3.264450,          -18.484292,           -0.170084,            2.422753,            0.727111,           -8.885964,           -3.333620,            7.471520,            2.155378,
                 128,           -5.041584,            4.854199,            1.097270,            0.670392,           -1.035018,           -2.286024,           12.657637,          -10.663186,           -8.754432,           -3.888756,            2.855658,            8.981614,           -3.500729,            2.221156,            2.258046,            8.220214,           -6.848499,           -9.841685,            0.457954,            1.606032,           -0.724787,           -5.461670,           -3.743558,            6.036797,            2.511548,
                 129,           -6.090051,            5.894657,            1.228377,            3.205944,           -3.226512,           -4.155589,            6.921243,           -5.802775,           -7.017157,           -2.720683,            0.994121,            8.547075,           -7.469810,            2.175727,           10.592557,           11.020631,          -15.685315,           -6.049802,            0.638685,            2.771593,            1.175098,           -9.316052,           -4.029277,            6.897802,            4.048003,
                 130,           -3.535236,            4.325249,           -0.826329,            5.985266,           -6.353919,           -2.758782,           -3.040489,            3.398027,           -6.852939,           -5.686247,            1.540830,           15.461022,           -5.188355,            9.469538,           -3.301174,            6.466183,           -4.883122,           -7.401739,           -0.285253,            0.131485,           -1.095018,           -2.721129,           -4.832155,            6.803944,            5.549503,
                 131,           -3.610645,            4.243468,           -1.866281,           11.265347,          -10.501203,           -6.357726,            3.335331,           -5.232265,            5.390175,           -6.264530,            5.776399,           10.824946,           -3.962269,            4.542765,            0.771583,            8.002978,           -7.855557,           -7.998890,           -2.418132,            0.082369,            0.588773,           -3.319717,           -3.624347,            6.486618,            1.947351,
                 132,           -7.573098,            7.670390,            0.533083,            7.755909,           -7.720103,           -4.036125,            0.620015,            0.237769,           -3.445603,           -6.926050,            7.117973,           10.622423,           -6.555582,            4.738476,            6.029041,           13.633163,          -24.609234,           -0.470526,           -0.532684,            1.076716,           -1.585020,           -3.719487,           -4.382057,            6.206502,            2.595110,
